PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes
110,r3k2r/p1p1bpp1/2q1p3/4P1p1/P3N3/1Rp1P2P/2Q2PP1/4K2R b Kkq - 3 22,c6a4 b3b8 a8b8 c2a4,987,79,92,1138,advantage discoveredAttack middlegame short
111,r1bqkb1r/pp4pp/2n1pn2/2p2p2/Q1P5/3P2P1/PP1P1PBP/R1BNK1NR b KQkq - 0 9,d8d3 g2c6 b7c6 a4c6 d3d7 c6a8,986,90,94,1071,advantage exposedKing fork long opening
112,1r4rk/pp3p1p/n1p5/5QN1/2P4P/3P4/Pq4B1/5R1K b - - 1 28,b2g7 g5f7 g7f7 f5f7,987,75,100,444,crushing middlegame short
113,2kr1b1r/1p1n1pp1/p1N1p1b1/2p4p/3PPB1P/1PP2P2/6P1/R3KB1R b KQ - 1 16,b7c6 f1a6,969,102,82,330,bodenMate mate mateIn1 middlegame oneMove queensideAttack
114,8/8/4p3/4kp2/2r5/5RP1/5PK1/8 w - - 2 47,f3f4 c4f4 g3f4 e5f4,788,134,25,182,crushing endgame master masterVsMaster rookEndgame short
115,r7/3R4/p2P3p/8/8/P1k2nP1/5P2/5K2 b - - 0 40,a8c8 d7c7 c8c7 d6c7,925,85,73,144,advancedPawn crushing endgame short
116,2rq1rk1/3bbpp1/p3p2p/n2pP3/1p1P4/1P1Q1NN1/P1BR1PPP/R5K1 b - - 5 21,d7b5 d3h7,863,85,85,182,mate mateIn1 middlegame oneMove
117,1k5r/ppp5/nr3pRp/4pB2/3pPP2/qP1P3P/2PQ1P2/1K4R1 b - - 0 23,a6b4 g6g8 h8g8 g1g8,761,86,96,2107,backRankMate mate mateIn2 middlegame short
118,8/8/p1k3p1/P1P2p2/2K3Pp/7P/8/8 w - - 0 51,g4f5 g6f5 c4d4 f5f4,862,98,83,103,crushing defensiveMove endgame pawnEndgame short
119,r2q3k/pp2R1pp/3p4/Q7/8/8/Pb3PPP/4R1K1 b - - 0 29,d8a5 e7e8 a8e8 e1e8,552,88,100,44,backRankMate endgame mate mateIn2 short
120,2r3k1/p4ppp/1pb1pq2/1P6/2Q1PP2/6P1/P5BP/2R3K1 b - - 0 24,c6b7 c4c8 b7c8 c1c8 f6d8 c8d8,605,96,92,729,backRankMate endgame long mate mateIn3
121,r4rk1/pp2nRpp/2p1b2q/8/3P4/P1P4P/B4QP1/5RK1 b - - 0 24,e6a2 f7f8 a8f8 f2f8,893,99,60,41,kingsideAttack mate mateIn2 middlegame short
122,r2r2k1/3n1ppp/p2QN3/6q1/4b3/8/PPP1N1PP/1K1R3R b - - 0 18,f7e6 d6e6 g8h8 e6e4,961,78,96,1023,advantage fork middlegame short
123,3rr2k/5ppp/p4Q2/1p1P3b/3BP3/1B3P2/P3K3/6R1 b - - 0 25,g7f6 d4f6,772,88,93,1056,endgame mate mateIn1 oneMove
124,8/2R4p/6pk/5p2/1rBP1KPP/4PP2/8/2r5 b - - 0 41,b4c4 g4g5 h6h5 c7h7,988,73,96,2215,deflection endgame mate mateIn2 rookEndgame short
125,5r1k/pb3Qpp/2p5/5p2/3P4/8/PPP2PPP/4R1K1 b - - 0 21,f8f7 e1e8 f7f8 e8f8,600,86,76,610,backRankMate endgame mate mateIn2 short
126,3r4/R3bp2/4p1k1/4P1p1/1Pp1NnP1/5rK1/2R2P2/8 w - - 0 36,g3f3 d8d3,566,86,100,263,endgame mate mateIn1 oneMove
127,r4rk1/5ppp/pQ1b1q2/8/1P6/P4N1P/5PP1/2R2RK1 w - - 1 25,c1d1 d6h2 f3h2 f6b6,921,77,94,1242,crushing discoveredAttack middlegame short
128,6k1/1q4p1/p2P2B1/8/5Q1P/6P1/P6K/4r3 w - - 5 36,f4f2 b7h1,726,94,47,38,endgame mate mateIn1 oneMove
129,n1r2rkQ/p2q3p/3P2pP/2p5/1P6/P4R1P/8/5RK1 b - - 1 37,g8h8 f3f8 c8f8 f1f8,663,108,78,201,endgame mate mateIn2 short
130,5rk1/6pp/3R4/p7/1p5q/1P1Q4/2B3PP/R3r2K w - - 1 34,a1e1 h4e1 d3f1 f8f1,684,89,96,1975,backRankMate endgame mate mateIn2 short
131,6rk/1pp1R1p1/6Bp/2b4P/8/pP3PK1/P1P5/8 w - - 5 32,e7c7 c5d6 f3f4 d6c7,819,84,92,376,crushing endgame fork short
132,r5k1/pp3pp1/6qp/3P3n/8/1P1BRP1P/4RP1K/8 b - - 7 26,g6g5 e3e8 a8e8 e2e8,600,102,65,544,endgame mate mateIn2 short
133,4nk2/Q5p1/1p4qp/3p4/3P4/2P2bP1/PP3P1P/4R1K1 w - - 3 33,e1e3 g6b1 e3e1 b1e1,754,82,100,287,endgame mate mateIn2 short
134,4r2k/3Q2pp/2pq2p1/p3p3/Pp1pP3/1P1P1R2/2P5/1K3R2 b - - 1 34,d6d7 f3f8 e8f8 f1f8,535,87,100,53,backRankMate endgame mate mateIn2 queenRookEndgame short
135,r1b1kb1r/ppp4p/3p1q1p/1B1Qp3/4P3/2N5/PPP2PPP/R3K2R b KQkq - 1 10,c7c6 b5c6 b7c6 d5c6,993,79,71,260,crushing middlegame short
136,8/pp6/2q1r1kp/P4p2/2p2Q2/2P3P1/5P1K/3R4 b - - 5 35,e6e4 d1d6 c6d6 f4d6,921,82,91,570,advantage endgame fork short
137,3r1r2/p5kp/1p4pP/2p5/2PbBQ2/2q5/P1P1K3/5R2 b - - 0 34,g7h8 f4f8 d8f8 f1f8,938,82,80,68,mate mateIn2 middlegame short
138,3q2kr/1p1n2p1/p1p2r2/P1Pp3P/1P1PpQ1R/4P3/4B3/2K4R w - - 1 44,f4g5 f6f1 e2f1 d8g5,936,80,50,71,crushing discoveredAttack middlegame short
139,r7/8/p1k5/1p1p1pn1/3R3p/2P1P2P/5P2/R5K1 w - - 0 31,d4h4 g5f3 g1g2 f3h4,813,86,88,396,crushing endgame fork short
140,8/8/6p1/1Pk4p/3pKP1P/8/8/8 b - - 0 51,c5b5 e4d4 b5c6 d4e5,990,79,85,96,crushing defensiveMove endgame pawnEndgame short
141,2r3k1/p1p1q1p1/2Qn3p/5p2/2pB4/2P5/Pr3PPP/4R1K1 w - - 0 24,e1e7 b2b1 e7e1 b1e1,957,98,73,32,backRankMate endgame mate mateIn2 short
